company_id,year,previous_pattern,current_pattern
PIDILITIND,2015,Reinvestor,Shareholder Returns
PIDILITIND,2017,Shareholder Returns,Mixed
PIDILITIND,2018,Mixed,Liquidating Assets
PIDILITIND,2019,Liquidating Assets,Reinvestor
PIDILITIND,2020,Reinvestor,Liquidating Assets
PIDILITIND,2021,Liquidating Assets,Shareholder Returns
PIDILITIND,2022,Shareholder Returns,Reinvestor
PIDILITIND,2023,Reinvestor,Shareholder Returns
PNB,2014,Pre-Revenue,Mixed
PNB,2017,Mixed,Liquidating Assets
PNB,2018,Liquidating Assets,Distress Signal
PNB,2019,Distress Signal,Growth Funded by Debt
PNB,2021,Growth Funded by Debt,Mixed
PNB,2024,Mixed,Growth Funded by Debt
POWERGRID,2019,Mixed,Shareholder Returns
POWERGRID,2022,Shareholder Returns,Liquidating Assets
POWERGRID,2023,Liquidating Assets,Shareholder Returns
RECLTD,2016,Distress Signal,Growth Funded by Debt
RECLTD,2017,Growth Funded by Debt,Shareholder Returns
RECLTD,2018,Shareholder Returns,Distress Signal
RECLTD,2022,Distress Signal,Growth Funded by Debt
RELIANCE,2016,Mixed,Shareholder Returns
RELIANCE,2017,Shareholder Returns,Mixed
RELIANCE,2018,Mixed,Shareholder Returns
RELIANCE,2019,Shareholder Returns,Mixed
RELIANCE,2020,Mixed,Shareholder Returns
RELIANCE,2021,Shareholder Returns,Mixed
RELIANCE,2024,Mixed,Shareholder Returns
SBILIFE,2014,Shareholder Returns,Reinvestor
SBILIFE,2015,Reinvestor,Shareholder Returns
SBILIFE,2021,Shareholder Returns,Mixed
SBILIFE,2022,Mixed,Shareholder Returns
SBIN,2014,Shareholder Returns,Mixed
SBIN,2015,Mixed,Shareholder Returns
SBIN,2016,Shareholder Returns,Mixed
SBIN,2017,Mixed,Reinvestor
SBIN,2018,Reinvestor,Distress Signal
SBIN,2019,Distress Signal,Cash Accumulator
SBIN,2020,Cash Accumulator,Mixed
SBIN,2022,Mixed,Shareholder Returns
SBIN,2023,Shareholder Returns,Growth Funded by Debt
SBIN,2024,Growth Funded by Debt,Reinvestor
SHREECEM,2018,Shareholder Returns,Mixed
SHREECEM,2019,Mixed,Shareholder Returns
SHREECEM,2020,Shareholder Returns,Mixed
SHREECEM,2021,Mixed,Shareholder Returns
SHRIRAMFIN,2018,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2019,Distress Signal,Growth Funded by Debt
SHRIRAMFIN,2023,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2024,Distress Signal,Growth Funded by Debt
SIEMENS,2018,Liquidating Assets,Reinvestor
SIEMENS,2019,Reinvestor,Shareholder Returns
SIEMENS,2020,Shareholder Returns,Liquidating Assets
SIEMENS,2021,Liquidating Assets,Shareholder Returns
SIEMENS,2022,Shareholder Returns,Reinvestor
SUNPHARMA,2014,Reinvestor,Mixed
SUNPHARMA,2015,Mixed,Shareholder Returns
SUNPHARMA,2017,Shareholder Returns,Reinvestor
SUNPHARMA,2018,Reinvestor,Shareholder Returns
SUNPHARMA,2019,Shareholder Returns,Reinvestor
SUNPHARMA,2020,Reinvestor,Shareholder Returns
SUNPHARMA,2021,Shareholder Returns,Liquidating Assets
SUNPHARMA,2022,Liquidating Assets,Shareholder Returns
SUNPHARMA,2023,Shareholder Returns,Mixed
SUNPHARMA,2024,Mixed,Shareholder Returns
TATACONSUM,2014,Cash Accumulator,Reinvestor
